,公司名称,发布时间,岗位名称,岗位需求,工资待遇,所属行业,招聘网址,结束时间
10,北京思源置地投资有限公司,2018-03-02,Python开发工程师（校招）(北京思源置地投资有限公司),工作职责：1.负责云平台、CMDB、作业平台等API接口的编写。2.生产运维管理需求提供Python脚本工具。任职要求：1.全日制本科以上学历计算机相关专业；2.熟悉主流Web框架，了解架构设计和实现原理；3.熟悉基于Mongodb和MySQL的Python开发工作；4.良好的设计和coding能力，拥有一定的研究思维和良好的学习能力；5.责任心强，乐于沟通，善于团队合作。,8000-15000,移动互联网|社交网络,https://www.lagou.com/jobs/4116676.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
11,北京天润融通科技股份有限公司,2018-03-02,python开发实习生,职位诱惑： 定期培训/定期团建/提供工作餐/牛人mentor/租房补助/可转正 职位描述： 岗位职责 1.参与公司数据平台建设，负责后端代码编写； 2.与产品、技术对接，并调试后端接口； 3.表现优秀会有机会参加平台建设方面的工作。 任职资格 1.至少掌握一门编程语言，有编程经验。会python、django者优先； 2.熟练使用sql语言，了解索引； 3.有较强的责任心和上进心；,4000-8000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1417035594.html?sid=seo_aladingb,2018-04-01
12,北京大狼科技有限公司,2018-03-02,Python高级软件工程师(北京大狼科技有限公司),"职位诱惑：空间广阔，有竞争力的薪酬【岗位职责】1、负责产品技术管理,协助上级对技术层面把关。2、能独立处理和解决所负责的任务。3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务。4、对系统架构质量进行全面控制。5、对下属开发人员进行质量、进度管理。6、与产品经理保持高频度的沟通，从技术层面把控产品迭代，并不断持续优化产品功能【岗位要求】1、本科及以上学历，2、3年以上python开发工作经验。3、2年以上技术主管或项目管理工作经验，有成功交付前后端产品技术管理经验，对APP端、微信开发流程有一定的了解。4、熟练并掌握python、Java语言，有一定的软件架构师经验。5、有良好的代码编写习惯，熟悉使用git等代码管理工具、熟悉Mysql、PostgreSQL数据库。6、熟悉HTML/HTML5,CSS/CSS3,Javascript技术,熟悉前端框架Bootstrap,Vue,React等。7、做事严谨踏实，责任心强，主动积极，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力。8、有物联网、互联网SAAS系统、电商支付系统经验者优先",18000-25000,硬件|移动互联网,https://www.lagou.com/jobs/3674339.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
13,北京东亚国际技术培训中心,2018-03-02,计算机python语言讲师,岗位职责： 1、能够胜任全英文教授计算机（python语言）编程课程； 2、教学设计：根据美国大学“计算机”课程要求，将课程计划分解为高中三年教学目标，分阶段完成教学课件； 3、负责完成“计算机”学课程阶段测试及期末考试试卷设计，根据美国大学考纲要求，完成每学期学生考核； 任职要求： 1、国内外知名大学“计算机”专业硕士学历，国内院校需“985、211”院校毕业； 2、英语授课流利，有A-LEVEL、AP等国际课程授课经验； 3、有海外留学工作经历者优先考虑；,8000-10000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416945928.html?sid=seo_aladingb,2018-04-01
14,北京摩尔妈咪网络科技有限公司,2018-03-02,高级Python工程师(北京摩尔妈咪网络科技有限公司),【岗位职责】公司系统构建各种基础架构层，具有独立项目管理能力，熟悉研发及协作流程；具有系统设计及架构能力，自身系统拆分及外部对接；自主、独立设计、完成团队内部的工具、平台、创新技术产品。【用人要求】需具备3年以上Python开发经验，参与过大型高并发网站开发和实施工作；使用过Flask或SanicWeb框架，熟悉掌握Rabbitmq或Kafka消息组件；熟悉MySQL数据库以及优化方法，了解常用的NoSQL产品，如MongoDB，Redis，Memcache；熟悉Python的协程（coroutine）编程方法，熟悉Linux开发环境；熟悉大流量、高并发、高性能的WEB后端系统的设计及应用，擅长性能调优者优先。【我们希望你可以】内心温暖，愿意做一件有社会责任感的事，与我们一起帮助中国的下一代，从小就能拥有更好的教育、更多的爱有激情、有想法，喜欢亲手从0到1去构建一个体系、打造一个未来【关于摩尔妈妈】摩尔妈妈已获得互联网知名大佬青睐，并有实力雄厚的机构强力支持，初创团队来自国内外你能想到的一线知名互联网公司摩尔妈妈致力于打造中国第一个高素质妈妈社区共享育儿平台，背后集结了三亿用户的需求团结广大中国妈妈的力量，共同解决0-6岁儿童的托育难题，让高素质妈妈成为改变中国教育的中流砥柱帮助妈妈们，通过共享自己在育儿方面的经验和时间，为家庭增加收入，为自己赢得尊严，零成本启动在家创业【我们可以提供什么】薪酬奖金行业内有竞争力的薪资（每年2次review调整）项目奖金丰厚年终奖金全额五险一金期权长期激励健康OPEN的工作环境优越的地理位置—坐落在北京东三环使馆蓝色港湾周边超酷的办公环境—“硅谷范”2200平的两层独栋注重健康—全楼覆盖的新风系统+健身房摩尔妈妈福利每年至少一次集体出游不定期各种高逼格有特色的TB你可能意想不到的特色礼物提倡高效工作，劳逸结合，休假大礼包专业培训行业大佬现身指导外部专业培训经费行业大咖牛人分享,25000-50000,移动互联网,https://www.lagou.com/jobs/4116352.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
15,北京神荼科技有限公司,2018-03-02,Python-Web开发工程师,"职责描述: 负责公司产品的Web API 和相关SDK开发 任职要求： 1. 有1年及以上的Python WEB服务端开发经验。 2. 熟悉python-Web框架(flask|django等),有Shell脚本使用经验。 3. 能够熟练使用redis,mysql,mongodb。 4. 熟悉TCP/IP和网络编程，熟悉多线程编程和websocket协议。 5. 善于分析和解决问题，比较强的学习经验和创新能力，有责任心。 6. 加分项：有区块链项目或者数字货币钱包开发经验 。",8000-15000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416599280.html?sid=seo_aladingb,2018-04-01
16,北京云京科技有限公司,2018-03-02,python后端工程师(北京云京科技有限公司),主要职责：1.协助架构工程师制定API接口标准；2.负责公司服务产品的API开发工作；3.负责公司内部基础库和便捷工具的开发工作；4.完成产品功能的单元测试工作；5.建立和完善开发文档；6.负责和协助上级交办的其他工作；职位要求：1.计算机基础知识掌握牢固，具备一年以上python开发经验；2.熟悉并使用过MySQL、Postgresql、Django、NGINX、linux、redis等工具；3.具备配合前端工程师的团队开发经验；4.具备良好的编码习惯与编程素质；5.熟悉C/C++编程语言者优先；6.具有大规模高并发访问的应用开发经验优先。,10000-20000,信息安全|企业服务,https://www.lagou.com/jobs/4133030.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
17,随行付支付有限公司,2018-03-02,高级python工程师,岗位职责： 1、负责开发公司的各个产品的核心通用运维组件，包括健康监控、运维数据采集、性能报警、产品上线系统和其余自动化运维组件； 2、与产品研发人员充分沟通，开发运维平台，保证产品的运维质量，保证产品正常运行； 3、自动化运维平台研发，提升运维、开发协作效率，推进标准化运维； 4、运维监控平台研发，能够主动学习新技术，熟悉zabbix、ganglia或nigios 平台的二次开发，可以通过量化指标，提升运维质量。 任职资格： 1、3年以上Python开发经验，有其他语言开发经验亦可，熟悉各种powershell或bat或bash及其余SHELL脚本的编写； 2、熟悉web框架、http协议； 3、有优秀的系统设计和架构的意识，熟悉常用的运维系统的设计原则，熟悉软件设计模式和软件工程； 4、熟悉服务器和机房运维的运维技术，熟悉各种性能计数器、健康监控、网络协议、Active Directory、WMI、SNMP、Linux下的系统调用等各种API的其中一种； 5、有责任心，有良好的团队合作精神，有责任感，有较好的沟通能力，主动性强； 6、对计算机相关基础知识有较好理解，了解常用数据结构和算法； 7、良好的编码风格及测试习惯； 8、拥有优秀的技术钻研能力和自学能力，能根据现有的知识和学习方法，不断学习自己所未知的、在实际系统运维过程中所需要的新知识。,15000-25000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416942504.html?sid=seo_aladingb,2018-04-01
18,北京星尘纪元智能科技有限公司,2018-03-02,高级Python工程师(北京星尘纪元智能科技有限公司),"公司介绍星尘数据是一家人工智能基础设施的云平台。我们提供人工智能所需要的基础设施，包括训练数据标注众包平台、算法交易平台等。AI数据服务是一个在国外有几十亿美金的成熟市场，公司成立两个月已经有多家客户，覆盖人脸识别/文本分析/智能零售等方向。公司在获得了来自AI专业投资人数千万估值的融资之后，正在快速迭代产品，期待和你一起成就梦想。岗位介绍负责机器学习基础架构产品的设计、讨论、开发、管理方面的工作。设计AI系统运行的底层运行架构，能够支持模型的全生命周期各个环节：数据采集、数据标注、特征提取、训练、回测、上线、学习、迭代、弹性扩展等。你在团队中扮演的角色负责我们的AI数据标注平台的产品框架定制参与产品规划思考，设计AI系统运行的底层运行架构，能够支持模型的全生命周期各个环节：数据采集、数据标注、特征提取、训练、回测、上线、学习、迭代、弹性扩展等。管理开发进度和开发流程开发产品核心代码参与机器学习核心算法的开发招聘和人员管理团队希望你具备的技术能力熟练掌握Python、良好的编码风格，强悍的编码能力，有代码洁癖者加分熟悉Flask、Django、Postgres、Redis等框架语音，并用其开发过真实项目有扎实的计算机基础，熟悉常用数据结构、算法、设计模式了解前端语言如Vue、Angular等中的一种，能快速上手有良好的开发协作规范，熟知CI理念，拥护TDD，能够用连续部署等方式提升效率我们对你的期望对敏捷开发方式有深入理解，并能搭建环境，制造团队氛围突出的学习能力和逻辑思维能力优秀的沟通能力，善于和技术团队协作对机器学习有一定兴趣和了解在专业和个人爱好方面有一技之长有初创公司小团队工作经验团队的工作氛围纯技术、最前沿、极具挑战的成长环境，CEO天天跟你聊机器学习算法和人工智能趋势前往硅谷的培训、工作机会每个人都有学习成长的空间希望你能参与到我们的用户需求讨论和思考扁平化管理，每个人都有一定的Ownership每周都有分享会，希望你能经常做技术和知识的分享希望通过黑客马拉松（Hackathon）等方式充分发挥每个人的创造性TheJoelTest你们用源文件管理系统吗？✓你们可以把整个系统从源码到上线一步建成吗？还没有,正在改进，连续部署是开发非常重要的一环你们每天都把从系统源码到线上构建一遍吗？✓你们有软件bug管理系统吗？目前记录在github，以后回持续优化你们在写新程序之前总是把现有程序里已知的bug解决吗？一般是你们的产品开发日程安排是否反映最新的开发进展情况？✓你们有没有软件开发的详细说明书？✓你们的程序员是否工作在安静的环境里？新装修的办公室，设施和装修都不错你们是否使用现有市场上能买到的最好的工具？✓你们有没有专职的软件测试人员？技术人员轮流部署单元测试和功能测试你们招人面试时是否让写一段程序？✓你们是否能通过『走廊测试』？我们在做出产品原型后都会找意向客户测试反馈福利弹性上班时间10+天带薪年假雾霾假每周五公司聚餐，分享进度黑客马拉松自选MBP电脑配置无限咖啡、饮料、零食餐补、车补医疗补充险团队介绍我们的专业团队背景：世界银行、华尔街、硅谷工作8年；涉及金融、保险、数据、量化、风险模型、人工智能等方向；开发了世界首款股权投资机器人，曾担任首席数据科学家；浙江大学，乔治华盛顿大学；清华大学、哈佛大学访问学者；百度人工智能实验室数据科学家；康奈尔大学毕业，谷歌产品经理；中科院计算所博士、深度学习图像处理专家；北大、美国西北大学人工智能方向博士、谷歌DeepMind(AlphaGo)实验室NLP研究员；澳洲银行业、零售业数据科学家领队，客户价值挖掘专家...",20000-35000,数据服务|移动互联网,https://www.lagou.com/jobs/4045220.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
19,无锡信成网络科技有限公司,2018-03-02,python工程师,"岗位职责： 1. 负责服务器端后台设计、功能开发及维护； 2. 参与技术方案讨论和技术调研； 3. 负责相关工具开发和相关文档的编写； 4. 负责服务器性能的优化，保证服务端稳定安全的运行； 5.产品上线后，保障运营平台的稳定，解决相关技术问题 任职资格： 1.计算机、软件开发、通信、电子类相关专业全日制本科及以上学历,两年以上Python专职开发经验或良好JAVA经验愿意学习python 2.熟练使用python编程；熟悉Django、tornado、 Flask等常用的Web框架开发；有一定的Git、VIM使用经验。 3. 熟练使用Linux系统，对算法、数据结构有一定了解； 4.熟练掌握MySQL/Memcached/ElasticSerch 等常用存储技术。（数据库系统） 5. 热爱工作, 有良好的学习能力, 能够接受新鲜事务, 对新技术及新模块可以快速掌握运用; 6. 良好的沟通与表达能力、思路清晰，较强的动手能力与逻辑分析能力.",15000-25000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416810695.html?sid=seo_aladingb,2018-04-01
