,公司名称,发布时间,岗位名称,岗位需求,工资待遇,所属行业,招聘网址,结束时间
143,北京百观科技有限公司,2018-03-02,Python数据与爬虫工程师(北京百观科技有限公司),职位描述：数据工程师将是团队核心成员。我们会一起挑战有趣的技术难题，在自由开放的氛围下，将前沿的数据抓取与存储技术转化成业界独一无二，极具价值的产品。职责：-探索并实践前沿爬虫技术与存储技术-分布式爬虫系统的开发，维护，与优化-对接第三方数据源，清洗入库-编写数据分析脚本要求：-热爱技术，对解决具有挑战性问题富有激情，学习能力和求知欲强-具备强悍的编码能力，内功扎实-熟悉linux开发环境，熟悉python，毕竟lifeisshort-有过分布式爬虫开发经验者优先-熟悉scrapy/redis/mongodb/mysql者优先-一线大学计算机或相关专业-阅读英文技术文档无障碍加分：-有过Android或iOSapp开发经验-有过逆向工程、反编译、破解app经验-有个人博客、参与开源项目、可提供Github/StackOverflow/知乎等id关于我们：百观Lab（BigOneLab）是一个年轻开放，硅谷风格的金融数据技术公司，致力于给全球投资机构抓取、分析、可视化非常规数据的产品。我们的客户是位于北京，纽约，和新加坡的数家国际一流投资机构，涉及的投资决策上千万美金。百观Lab于2016年获得了徐小平真格基金领投的百万美元天使融资。我们位于北京，是一个快速成长的国际化创业团队，成员来自国际一流技术与金融公司。为了做出最棒的产品，我们需要同样充满好奇心，技艺高超的小伙伴。我们提供：-极有竞争力的待遇+期权激励-有趣的同事-超棒的办公环境，紧邻雍和宫五道营#我们也不喜欢西二旗-弹性工作制#我们也不相信996-HermanMiller座椅-和百观技术顾问团交流学习的机会(百度机器学习T9，前豌豆荚资深架构师，斯坦福AI博士等)-MacBookPro，零食饮料，免费午餐，免费口罩...,17000-26000,数据服务|金融,https://www.lagou.com/jobs/3720481.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
144,北京天润融通科技股份有限公司,2018-03-02,python开发实习生,职位诱惑： 定期培训/定期团建/提供工作餐/牛人mentor/租房补助/可转正 职位描述： 岗位职责 1.参与公司数据平台建设，负责后端代码编写； 2.与产品、技术对接，并调试后端接口； 3.表现优秀会有机会参加平台建设方面的工作。 任职资格 1.至少掌握一门编程语言，有编程经验。会python、django者优先； 2.熟练使用sql语言，了解索引； 3.有较强的责任心和上进心；,4000-8000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1417035594.html?sid=seo_aladingb,2018-04-01
145,北京思源置地投资有限公司,2018-03-02,Python开发工程师（校招）(北京思源置地投资有限公司),工作职责：1.负责云平台、CMDB、作业平台等API接口的编写。2.生产运维管理需求提供Python脚本工具。任职要求：1.全日制本科以上学历计算机相关专业；2.熟悉主流Web框架，了解架构设计和实现原理；3.熟悉基于Mongodb和MySQL的Python开发工作；4.良好的设计和coding能力，拥有一定的研究思维和良好的学习能力；5.责任心强，乐于沟通，善于团队合作。,8000-15000,移动互联网|社交网络,https://www.lagou.com/jobs/4116676.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
146,北京东亚国际技术培训中心,2018-03-02,计算机python语言讲师,岗位职责： 1、能够胜任全英文教授计算机（python语言）编程课程； 2、教学设计：根据美国大学“计算机”课程要求，将课程计划分解为高中三年教学目标，分阶段完成教学课件； 3、负责完成“计算机”学课程阶段测试及期末考试试卷设计，根据美国大学考纲要求，完成每学期学生考核； 任职要求： 1、国内外知名大学“计算机”专业硕士学历，国内院校需“985、211”院校毕业； 2、英语授课流利，有A-LEVEL、AP等国际课程授课经验； 3、有海外留学工作经历者优先考虑；,8000-10000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416945928.html?sid=seo_aladingb,2018-04-01
147,北京大狼科技有限公司,2018-03-02,Python高级软件工程师(北京大狼科技有限公司),"职位诱惑：空间广阔，有竞争力的薪酬【岗位职责】1、负责产品技术管理,协助上级对技术层面把关。2、能独立处理和解决所负责的任务。3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务。4、对系统架构质量进行全面控制。5、对下属开发人员进行质量、进度管理。6、与产品经理保持高频度的沟通，从技术层面把控产品迭代，并不断持续优化产品功能【岗位要求】1、本科及以上学历，2、3年以上python开发工作经验。3、2年以上技术主管或项目管理工作经验，有成功交付前后端产品技术管理经验，对APP端、微信开发流程有一定的了解。4、熟练并掌握python、Java语言，有一定的软件架构师经验。5、有良好的代码编写习惯，熟悉使用git等代码管理工具、熟悉Mysql、PostgreSQL数据库。6、熟悉HTML/HTML5,CSS/CSS3,Javascript技术,熟悉前端框架Bootstrap,Vue,React等。7、做事严谨踏实，责任心强，主动积极，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力。8、有物联网、互联网SAAS系统、电商支付系统经验者优先",18000-25000,硬件|移动互联网,https://www.lagou.com/jobs/3674339.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
148,北京神荼科技有限公司,2018-03-02,Python-Web开发工程师,"职责描述: 负责公司产品的Web API 和相关SDK开发 任职要求： 1. 有1年及以上的Python WEB服务端开发经验。 2. 熟悉python-Web框架(flask|django等),有Shell脚本使用经验。 3. 能够熟练使用redis,mysql,mongodb。 4. 熟悉TCP/IP和网络编程，熟悉多线程编程和websocket协议。 5. 善于分析和解决问题，比较强的学习经验和创新能力，有责任心。 6. 加分项：有区块链项目或者数字货币钱包开发经验 。",8000-15000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416599280.html?sid=seo_aladingb,2018-04-01
149,北京摩尔妈咪网络科技有限公司,2018-03-02,高级Python工程师(北京摩尔妈咪网络科技有限公司),【岗位职责】公司系统构建各种基础架构层，具有独立项目管理能力，熟悉研发及协作流程；具有系统设计及架构能力，自身系统拆分及外部对接；自主、独立设计、完成团队内部的工具、平台、创新技术产品。【用人要求】需具备3年以上Python开发经验，参与过大型高并发网站开发和实施工作；使用过Flask或SanicWeb框架，熟悉掌握Rabbitmq或Kafka消息组件；熟悉MySQL数据库以及优化方法，了解常用的NoSQL产品，如MongoDB，Redis，Memcache；熟悉Python的协程（coroutine）编程方法，熟悉Linux开发环境；熟悉大流量、高并发、高性能的WEB后端系统的设计及应用，擅长性能调优者优先。【我们希望你可以】内心温暖，愿意做一件有社会责任感的事，与我们一起帮助中国的下一代，从小就能拥有更好的教育、更多的爱有激情、有想法，喜欢亲手从0到1去构建一个体系、打造一个未来【关于摩尔妈妈】摩尔妈妈已获得互联网知名大佬青睐，并有实力雄厚的机构强力支持，初创团队来自国内外你能想到的一线知名互联网公司摩尔妈妈致力于打造中国第一个高素质妈妈社区共享育儿平台，背后集结了三亿用户的需求团结广大中国妈妈的力量，共同解决0-6岁儿童的托育难题，让高素质妈妈成为改变中国教育的中流砥柱帮助妈妈们，通过共享自己在育儿方面的经验和时间，为家庭增加收入，为自己赢得尊严，零成本启动在家创业【我们可以提供什么】薪酬奖金行业内有竞争力的薪资（每年2次review调整）项目奖金丰厚年终奖金全额五险一金期权长期激励健康OPEN的工作环境优越的地理位置—坐落在北京东三环使馆蓝色港湾周边超酷的办公环境—“硅谷范”2200平的两层独栋注重健康—全楼覆盖的新风系统+健身房摩尔妈妈福利每年至少一次集体出游不定期各种高逼格有特色的TB你可能意想不到的特色礼物提倡高效工作，劳逸结合，休假大礼包专业培训行业大佬现身指导外部专业培训经费行业大咖牛人分享,25000-50000,移动互联网,https://www.lagou.com/jobs/4116352.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
150,随行付支付有限公司,2018-03-02,高级python工程师,岗位职责： 1、负责开发公司的各个产品的核心通用运维组件，包括健康监控、运维数据采集、性能报警、产品上线系统和其余自动化运维组件； 2、与产品研发人员充分沟通，开发运维平台，保证产品的运维质量，保证产品正常运行； 3、自动化运维平台研发，提升运维、开发协作效率，推进标准化运维； 4、运维监控平台研发，能够主动学习新技术，熟悉zabbix、ganglia或nigios 平台的二次开发，可以通过量化指标，提升运维质量。 任职资格： 1、3年以上Python开发经验，有其他语言开发经验亦可，熟悉各种powershell或bat或bash及其余SHELL脚本的编写； 2、熟悉web框架、http协议； 3、有优秀的系统设计和架构的意识，熟悉常用的运维系统的设计原则，熟悉软件设计模式和软件工程； 4、熟悉服务器和机房运维的运维技术，熟悉各种性能计数器、健康监控、网络协议、Active Directory、WMI、SNMP、Linux下的系统调用等各种API的其中一种； 5、有责任心，有良好的团队合作精神，有责任感，有较好的沟通能力，主动性强； 6、对计算机相关基础知识有较好理解，了解常用数据结构和算法； 7、良好的编码风格及测试习惯； 8、拥有优秀的技术钻研能力和自学能力，能根据现有的知识和学习方法，不断学习自己所未知的、在实际系统运维过程中所需要的新知识。,15000-25000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416942504.html?sid=seo_aladingb,2018-04-01
151,北京星尘纪元智能科技有限公司,2018-03-02,高级Python工程师(北京星尘纪元智能科技有限公司),"公司介绍星尘数据是一家人工智能基础设施的云平台。我们提供人工智能所需要的基础设施，包括训练数据标注众包平台、算法交易平台等。AI数据服务是一个在国外有几十亿美金的成熟市场，公司成立两个月已经有多家客户，覆盖人脸识别/文本分析/智能零售等方向。公司在获得了来自AI专业投资人数千万估值的融资之后，正在快速迭代产品，期待和你一起成就梦想。岗位介绍负责机器学习基础架构产品的设计、讨论、开发、管理方面的工作。设计AI系统运行的底层运行架构，能够支持模型的全生命周期各个环节：数据采集、数据标注、特征提取、训练、回测、上线、学习、迭代、弹性扩展等。你在团队中扮演的角色负责我们的AI数据标注平台的产品框架定制参与产品规划思考，设计AI系统运行的底层运行架构，能够支持模型的全生命周期各个环节：数据采集、数据标注、特征提取、训练、回测、上线、学习、迭代、弹性扩展等。管理开发进度和开发流程开发产品核心代码参与机器学习核心算法的开发招聘和人员管理团队希望你具备的技术能力熟练掌握Python、良好的编码风格，强悍的编码能力，有代码洁癖者加分熟悉Flask、Django、Postgres、Redis等框架语音，并用其开发过真实项目有扎实的计算机基础，熟悉常用数据结构、算法、设计模式了解前端语言如Vue、Angular等中的一种，能快速上手有良好的开发协作规范，熟知CI理念，拥护TDD，能够用连续部署等方式提升效率我们对你的期望对敏捷开发方式有深入理解，并能搭建环境，制造团队氛围突出的学习能力和逻辑思维能力优秀的沟通能力，善于和技术团队协作对机器学习有一定兴趣和了解在专业和个人爱好方面有一技之长有初创公司小团队工作经验团队的工作氛围纯技术、最前沿、极具挑战的成长环境，CEO天天跟你聊机器学习算法和人工智能趋势前往硅谷的培训、工作机会每个人都有学习成长的空间希望你能参与到我们的用户需求讨论和思考扁平化管理，每个人都有一定的Ownership每周都有分享会，希望你能经常做技术和知识的分享希望通过黑客马拉松（Hackathon）等方式充分发挥每个人的创造性TheJoelTest你们用源文件管理系统吗？✓你们可以把整个系统从源码到上线一步建成吗？还没有,正在改进，连续部署是开发非常重要的一环你们每天都把从系统源码到线上构建一遍吗？✓你们有软件bug管理系统吗？目前记录在github，以后回持续优化你们在写新程序之前总是把现有程序里已知的bug解决吗？一般是你们的产品开发日程安排是否反映最新的开发进展情况？✓你们有没有软件开发的详细说明书？✓你们的程序员是否工作在安静的环境里？新装修的办公室，设施和装修都不错你们是否使用现有市场上能买到的最好的工具？✓你们有没有专职的软件测试人员？技术人员轮流部署单元测试和功能测试你们招人面试时是否让写一段程序？✓你们是否能通过『走廊测试』？我们在做出产品原型后都会找意向客户测试反馈福利弹性上班时间10+天带薪年假雾霾假每周五公司聚餐，分享进度黑客马拉松自选MBP电脑配置无限咖啡、饮料、零食餐补、车补医疗补充险团队介绍我们的专业团队背景：世界银行、华尔街、硅谷工作8年；涉及金融、保险、数据、量化、风险模型、人工智能等方向；开发了世界首款股权投资机器人，曾担任首席数据科学家；浙江大学，乔治华盛顿大学；清华大学、哈佛大学访问学者；百度人工智能实验室数据科学家；康奈尔大学毕业，谷歌产品经理；中科院计算所博士、深度学习图像处理专家；北大、美国西北大学人工智能方向博士、谷歌DeepMind(AlphaGo)实验室NLP研究员；澳洲银行业、零售业数据科学家领队，客户价值挖掘专家...",20000-35000,数据服务|移动互联网,https://www.lagou.com/jobs/4045220.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
152,无锡信成网络科技有限公司,2018-03-02,python工程师,"岗位职责： 1. 负责服务器端后台设计、功能开发及维护； 2. 参与技术方案讨论和技术调研； 3. 负责相关工具开发和相关文档的编写； 4. 负责服务器性能的优化，保证服务端稳定安全的运行； 5.产品上线后，保障运营平台的稳定，解决相关技术问题 任职资格： 1.计算机、软件开发、通信、电子类相关专业全日制本科及以上学历,两年以上Python专职开发经验或良好JAVA经验愿意学习python 2.熟练使用python编程；熟悉Django、tornado、 Flask等常用的Web框架开发；有一定的Git、VIM使用经验。 3. 熟练使用Linux系统，对算法、数据结构有一定了解； 4.熟练掌握MySQL/Memcached/ElasticSerch 等常用存储技术。（数据库系统） 5. 热爱工作, 有良好的学习能力, 能够接受新鲜事务, 对新技术及新模块可以快速掌握运用; 6. 良好的沟通与表达能力、思路清晰，较强的动手能力与逻辑分析能力.",15000-25000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416810695.html?sid=seo_aladingb,2018-04-01
153,北京仁科互动网络技术有限公司,2018-03-02,Python开发工程师,职位描述： ● 负责运维支撑平台、运维自动化平台及相关工具的设计和开发； ● 负责优化、改进运维系统，保证其安全高效稳定的运行； ● 开发端到端的服务度量系统； ● 开发基于云计算的微服务管理系统。 任职要求： ● 熟悉Python/Golang等其中一种开发语言； ● 熟悉一种Python或golang常用的开发框架，有一定的web前端技能； ● 熟悉Linux操作系统及常用命令，熟悉多线程、网络相关知识； ● 熟悉常用的开源软件Nginx、Mysql、ELK、MongoDB、Redis等； ● 熟悉日志/Metrics分析统计相关工具和技术（如 Elasticsearch/Logstash）； ● 计算机及相关专业本科及以上学历，两年以上相关工作经验； 优先条件： ● 熟悉Docker应用，有k8s或Mesos或Swarm经验； ● 熟悉云计算相关技术，有2年阿里云或AWS使用经验，有AWS认证为佳； ● 有运维平台/监控平台/资产管理平台/性能度量平台开发经验； ● 有Java开发背景最佳；,20000-30000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1417187834.html?sid=seo_aladingb,2018-04-01
154,北京三快在线科技有限公司,2018-03-02,服务端高级开发工程师Golang/Python(北京三快在线科技有限公司),工作职责：1.负责服务器端软件的研发工作，包括服务器端需求沟通，架构设计，核心技术研发，线上服务维护等；2.学习和研究新技术以满足产品的需求；3.负责软件开发过程中的问题分析和总结，提供建议帮助改善研发流程；4.和产品/测试/运营进行密切沟通，能够根据需求提出合理技术方案。岗位职责：1．全日制本科以上学历计算机相关专业，2年以上工作经验2．熟练使用python/Golang，有良好的代码规范3．熟练使用MySQL、MongoDB、Redis4．对软件工程和编程技术有较深理解，具备服务器端开发经验，熟悉网络协议和网络开发，具备全栈开发经验者优先5．有hadoop，hbase，spark，mapreduce等大数据工具使用经验优先6．强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长7．具有强烈的团队协作意识，高度的责任感，对工作积极严谨，逻辑思维能力强，有较强学习和创新能力。,35000-45000,移动互联网|O2O,https://www.lagou.com/jobs/4134091.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
155,北京京东金融科技控股有限公司,2018-03-02,Python自动化运维开发,京东金融集团招Python自动化运维开发 工作地点：北京亦庄总部，班车接送 工作职责： 1、负责运营支撑平台、运维自动化平台及其组件的设计和开发； 2、负责优化、改进运维支持系统，并保证其安全高效稳定的运行； 3、参与运营平台、运维系统的需求分析、设计、编码； 4、负责开发、完善运维内部系统及辅助系统，提升运维质量及效率； 任职要求： 1.两年以上开发经验，具有设计，性能优化经验，良好的编码规范； 2.熟练掌握Python Web框架 如Django，Twisted，Tornado等； 3.熟练使用多线程、Socket编程，以及HTTP REST协议； 4.有自动化运维意识，多人开发及版本控制管理经验； 5.熟练使用关系型数据库，有数据库运维经验优先录用；,20000-40000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1413161136.html?sid=seo_aladingb,2018-04-01
156,内蒙古西贝餐饮连锁有限责任公司,2018-03-02,Python高级开发工程师(内蒙古西贝餐饮连锁有限责任公司),"职位描述公司核心部门开发人员职位诱惑：如果你想帮助一个中国知名的餐饮企业转型互联网+如果你想改变一个传统领域的玩法如果你想自己担当一个项目的负责人那么请你加入我们吧，我们给你无限的想象空间，我们不会限制你的发展，你有多少能力我们给你多大平台待遇是你想岗位职责：1.根据第三方平台提供的数据,进行清洗,整理,分析；2.全公司服务器的自动化运维，自研发系统自动化发布实现；3.全网的餐饮行业数据以及相关数据收集；4.自研发项目的自动化测试、压力测试等；5.餐饮行业数据分析；岗位要求：1.熟练掌握python,熟悉linux系统；2.掌握tornado框架等常用框架；3.熟悉mysql等常用数据库，对SQL语句有深入理解，掌握大数据处理技术优先；4.数据redis等缓存数据库;5.较强的学习、分析问题的能力，良好的团队合作意识，需要有一定抗压能力；6.有数据挖掘/机器学习/推荐系统开发经验者优先；7、3年以上工作经验，统招本科；",12000-20000,其他,https://www.lagou.com/jobs/4079439.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
157,北京赢联明志科技有限公司,2018-03-02,java python 网络爬虫开发,"岗位职责： 1、对爬虫感兴趣，能独立爬取数据； 2、能够利用爬虫爬取各大网站的数据。 3、对爬取的内容进行提取、处理、优化、过滤，审核，入库等操作； 4、针对不同网站，编写及维护网页抽取配置； 5、有社交媒体数据采集经验者优先； 6、有自动化测试经验的优先； 7、有海外社交平台采集有经验者优先； 8、对于分词，情感分析等一些采集相关工作有经验者优先 任职要求： 1、熟练掌握一种开发语言，并且对其他语言有一定的理解能力，和简单的编写能力，精通java语言者优先； 2、熟悉Html,XML网页标记语言，熟悉基于Cookie的网站登录原理，熟悉基于正则表达式、Xpath、CSS等网页信息抽取技术，熟悉JS，ajax，网页消重； 3、熟悉Mysql数据库，了解Redis、Mongodb、HBase、HIVE等NoSQL数据库； 4、2-3年以上爬虫开发经验，有分布式爬虫架构经验优先； 5、熟悉多线程、网络通信编程相关知识 6、对于新技术接受能力快，有良好的对接沟通能力",12000-16000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1417031554.html?sid=seo_aladingb,2018-04-01
158,北京多牛互动传媒股份有限公司,2018-03-02,Python开发工程师-WEB-DNJS0007(北京多牛互动传媒股份有限公司),"这里有大量的妹子，休闲的别墅办公，超美味的午餐，丰富的娱乐，欢乐的同事，这些你想拥有吗？在这里你再也不是简单的码农，我们带你一起向高富帅的路上狂奔！我们需要你：*负责软件模块的设计、开发、单元测试、集成等工作；*参与相关需求分析、业务逻辑流程设计及文档编写；*参与数据模型设计和实现；*参与性能优化；*参与新技术研究学习及应用我们希望你具备：*计算机相关专业本科及以上学历；*熟悉python语言，2年以上python项目开发经验；*熟悉tornado,或flask、django框架，并深入了解其中一种；*熟悉至少一种数据库（mysql、oracle）、了解至少一种Nosql数据库（redis、mongodb、hbase）；*熟悉linux系统，熟悉http协议；*熟悉restfulapi设计风格和规则，熟悉pandas者优先；*具备良好的编码规范、学习能力，有独立分析解决问题能力；*工作认真负责，沟通协作意识良好，能够承担工作压力.先来点实际的：*多牛传媒为每一位员工提供最人性化的薪酬福利，工作环境；*入职缴纳社保公积金，我们义不容辞；*我们关心每一位多牛人的健康，健身房，水果，零食饮料等多项软福利；*每天下午困困哒，不要紧，咖啡无限量供应！*我们有最open的文化氛围，珍视每一位多牛人每一个小小的建议；*多牛传媒，趣，最活力，最学习，最靠谱，最创新；*我们等待你的加入！",12000-24000,文化娱乐,https://www.lagou.com/jobs/3470409.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
159,北京上格云技术有限公司,2018-03-02,Python工程师-实习生,岗位职责 1. 参与公司软件产品后台研发和维护工作 2. 参与建筑物联网数据分析算法的设计和开发 3. 可独立完成业务算法模块开发，并能结合产品目标进行改进创新 任职要求 1. 熟练使用python，一年以上python开发经验 2. 熟悉MySQL数据库，了解NoSQL数据库 3. 熟悉时间序列模型，分类器和神经网络算法 4. 善于沟通和逻辑表达，良好的团队合作精神和积极主动的沟通意识 5. 具备较好的学习能力，问题分析能力，可以独立调试解决问题 工作时间 实习期2017年10月~2018年1月，不低于1个月 每周工作不低于3天 薪酬 实习薪资按实际工作天数计算，150元/天 根据工作完成情况另设奖金,3000-4000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1414566957.html?sid=seo_aladingb,2018-04-01
160,北京思源置地投资有限公司,2018-03-02,Python开发工程师（校招）(北京思源置地投资有限公司),工作职责：1.负责云平台、CMDB、作业平台等API接口的编写。2.生产运维管理需求提供Python脚本工具。任职要求：1.全日制本科以上学历计算机相关专业；2.熟悉主流Web框架，了解架构设计和实现原理；3.熟悉基于Mongodb和MySQL的Python开发工作；4.良好的设计和coding能力，拥有一定的研究思维和良好的学习能力；5.责任心强，乐于沟通，善于团队合作。,8000-15000,移动互联网|社交网络,https://www.lagou.com/jobs/4116676.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
161,北京博派通达科技有限公司,2018-03-02,Python 高级工程师(模拟请求、爬虫方向),我们是一家创业公司，在做互联网保险相关的产品，期待你的加入。 ## 工作地点 北京 - 惠新西街南口地铁附近 ## 工作环境 - 标配 MacBook Pro + U2415 显示器 - Ergonor 工作椅 - 凸墙环境和服务 - 无限零食、饮料、水果 - 扁平化层级 - 很多绿植 - 介绍对象 - 持续招妹子 - 报销所有专业书籍 ## 薪资范围 10 - 30K ## Python 高级工程师（模拟请求方向） ### 工作职责 - 通过模拟请求将人工复杂操作转变为自动化操作 - 将自动化操作融入整套系统 - 获取业务所需数据 ### 职位要求 - 一年以上 Python 开发经验 - 精通网络编程、熟悉 HTTP 协议 - 熟悉 HTML、XPath、CSS、JavaScript - 熟悉正则表达式，从结构化的和非结构化的数据中获取信息 - 拥有良好的编码习惯，结构清晰，命名规范，逻辑性强，认同单元测试 - 善于思考，能独立分析和解决问题 - 责任心强，具备良好的团队合作精神 - 熟练使用 Git，熟悉 Pull Request 工作流 - 如果您有 Blog、GitHub、Stack Overflow、微博、Twitter 帐号，强烈建议您附注在简历中 工作地址 北京市朝阳区北土城东路4号院1号楼,10000-20000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1414874996.html?sid=seo_aladingb,2018-04-01
162,北京大狼科技有限公司,2018-03-02,Python高级软件工程师(北京大狼科技有限公司),"职位诱惑：空间广阔，有竞争力的薪酬【岗位职责】1、负责产品技术管理,协助上级对技术层面把关。2、能独立处理和解决所负责的任务。3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务。4、对系统架构质量进行全面控制。5、对下属开发人员进行质量、进度管理。6、与产品经理保持高频度的沟通，从技术层面把控产品迭代，并不断持续优化产品功能【岗位要求】1、本科及以上学历，2、3年以上python开发工作经验。3、2年以上技术主管或项目管理工作经验，有成功交付前后端产品技术管理经验，对APP端、微信开发流程有一定的了解。4、熟练并掌握python、Java语言，有一定的软件架构师经验。5、有良好的代码编写习惯，熟悉使用git等代码管理工具、熟悉Mysql、PostgreSQL数据库。6、熟悉HTML/HTML5,CSS/CSS3,Javascript技术,熟悉前端框架Bootstrap,Vue,React等。7、做事严谨踏实，责任心强，主动积极，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力。8、有物联网、互联网SAAS系统、电商支付系统经验者优先",18000-25000,硬件|移动互联网,https://www.lagou.com/jobs/3674339.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
163,北京天润融通科技股份有限公司,2018-03-02,python开发实习生,职位诱惑： 定期培训/定期团建/提供工作餐/牛人mentor/租房补助/可转正 职位描述： 岗位职责 1.参与公司数据平台建设，负责后端代码编写； 2.与产品、技术对接，并调试后端接口； 3.表现优秀会有机会参加平台建设方面的工作。 任职资格 1.至少掌握一门编程语言，有编程经验。会python、django者优先； 2.熟练使用sql语言，了解索引； 3.有较强的责任心和上进心；,4000-8000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1417035594.html?sid=seo_aladingb,2018-04-01
164,会找房（北京）网络技术有限公司,2018-03-02,Python(会找房（北京）网络技术有限公司),岗位职责：1、负责数据库设计，系统设计，API接口设计，对外系统接入等；2、根据产品需求制定技术方案，项目计划；3、负责分析业务领域比较复杂的问题，提出解决方案并执行；4、配合运维人员进行数据库性能优化及问题的分析解决；5、负责对研发项目制定单元测试、压力测试方案并执行；任职要求：1.三年以上Python开发经验，有互联网开发背景；2.掌握面向对象设计开发，熟悉常见设计模式；3.熟练使用常用MVC、ORM框架；4.熟悉MySQL数据库，有Redis或memcache缓存系统使用经验；5.熟悉分布式、缓存、消息、搜索等机制，有分布式系统、集群架构设计和使用经验优先；6.熟悉HTML/CSS/JS等前端技术优先；7.有责任心、有想法，热爱技术，喜欢钻研；8.有较强的逻辑思维能力，善于分析、归纳、快速定位并解决问题。,15000-25000,移动互联网、金融,https://www.lagou.com/jobs/2463968.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
165,北京东亚国际技术培训中心,2018-03-02,计算机python语言讲师,岗位职责： 1、能够胜任全英文教授计算机（python语言）编程课程； 2、教学设计：根据美国大学“计算机”课程要求，将课程计划分解为高中三年教学目标，分阶段完成教学课件； 3、负责完成“计算机”学课程阶段测试及期末考试试卷设计，根据美国大学考纲要求，完成每学期学生考核； 任职要求： 1、国内外知名大学“计算机”专业硕士学历，国内院校需“985、211”院校毕业； 2、英语授课流利，有A-LEVEL、AP等国际课程授课经验； 3、有海外留学工作经历者优先考虑；,8000-10000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416945928.html?sid=seo_aladingb,2018-04-01
166,北京百观科技有限公司,2018-03-02,Python数据与爬虫工程师(北京百观科技有限公司),职位描述：数据工程师将是团队核心成员。我们会一起挑战有趣的技术难题，在自由开放的氛围下，将前沿的数据抓取与存储技术转化成业界独一无二，极具价值的产品。职责：-探索并实践前沿爬虫技术与存储技术-分布式爬虫系统的开发，维护，与优化-对接第三方数据源，清洗入库-编写数据分析脚本要求：-热爱技术，对解决具有挑战性问题富有激情，学习能力和求知欲强-具备强悍的编码能力，内功扎实-熟悉linux开发环境，熟悉python，毕竟lifeisshort-有过分布式爬虫开发经验者优先-熟悉scrapy/redis/mongodb/mysql者优先-一线大学计算机或相关专业-阅读英文技术文档无障碍加分：-有过Android或iOSapp开发经验-有过逆向工程、反编译、破解app经验-有个人博客、参与开源项目、可提供Github/StackOverflow/知乎等id关于我们：百观Lab（BigOneLab）是一个年轻开放，硅谷风格的金融数据技术公司，致力于给全球投资机构抓取、分析、可视化非常规数据的产品。我们的客户是位于北京，纽约，和新加坡的数家国际一流投资机构，涉及的投资决策上千万美金。百观Lab于2016年获得了徐小平真格基金领投的百万美元天使融资。我们位于北京，是一个快速成长的国际化创业团队，成员来自国际一流技术与金融公司。为了做出最棒的产品，我们需要同样充满好奇心，技艺高超的小伙伴。我们提供：-极有竞争力的待遇+期权激励-有趣的同事-超棒的办公环境，紧邻雍和宫五道营#我们也不喜欢西二旗-弹性工作制#我们也不相信996-HermanMiller座椅-和百观技术顾问团交流学习的机会(百度机器学习T9，前豌豆荚资深架构师，斯坦福AI博士等)-MacBookPro，零食饮料，免费午餐，免费口罩...,17000-26000,数据服务|金融,https://www.lagou.com/jobs/3720481.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
